iter	Passed	Remaining
0	1	132
1	2	116
2	3	111
3	4	105
4	5	105
5	6	103
6	7	100
7	8	97
8	9	95
9	10	93
10	11	92
11	12	90
12	13	90
13	14	89
14	15	87
15	16	86
16	17	85
17	18	83
18	19	82
19	20	81
20	21	79
21	22	78
22	23	77
23	23	75
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	60
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	43	47
48	44	46
49	45	45
50	46	44
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	58	27
68	59	26
69	60	25
70	61	24
71	61	24
72	62	23
73	63	22
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	69	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
